特征,重要性
红球和值(t-1),0.0695773607751487
红球方差(t-3),0.06219413556475784
红球和值(t-2),0.05947038985694343
红球方差(t-5),0.05740552324968662
红球和值(t-4),0.05667738583343758
红球和值(t-3),0.05659479522616749
蓝球(t-3),0.05450968946565009
红球方差(t-2),0.052839226249866034
红球方差(t-4),0.051619585671527836
红球方差(t-1),0.05123652914297125
红球和值(t-5),0.05116780863299736
蓝球(t-4),0.04725091301268148
蓝球(t-2),0.04446799779008376
蓝球(t-5),0.04357765800588509
红球跨度(t-1),0.04285101939583677
红球跨度(t-4),0.04179037716073859
红球跨度(t-5),0.041441541589697956
蓝球(t-1),0.04089497484264243
红球跨度(t-3),0.037726989700266944
红球跨度(t-2),0.03670609883301277
