红球号码,红球平均冷却期,红球当前冷却期,红球冷热状态,蓝球号码,蓝球平均冷却期,蓝球当前冷却期,蓝球冷热状态
1,5.105263157894737,2,热,1.0,15.944444444444445,10.0,热
2,4.758064516129032,0,热,2.0,19.357142857142858,3.0,热
3,4.766666666666667,2,热,3.0,12.909090909090908,9.0,热
4,6.195652173913044,11,冷,4.0,9.833333333333334,5.0,热
5,5.979166666666667,5,热,5.0,16.5,23.0,冷
6,5.3090909090909095,7,冷,6.0,17.294117647058822,1.0,热
7,5.120689655172414,1,热,7.0,19.714285714285715,14.0,热
8,4.966666666666667,1,热,8.0,18.357142857142858,13.0,热
9,4.833333333333333,9,冷,9.0,22.384615384615383,7.0,热
10,5.120689655172414,1,热,10.0,18.466666666666665,8.0,热
11,5.566037735849057,3,热,11.0,10.916666666666666,24.0,冷
12,5.547169811320755,2,热,12.0,17.125,18.0,冷
13,5.666666666666667,10,冷,13.0,16.375,20.0,冷
14,5.823529411764706,0,热,14.0,17.58823529411765,0.0,热
15,6.326086956521739,3,热,15.0,10.375,16.0,冷
16,5.5,8,冷,16.0,12.454545454545455,17.0,冷
17,4.515625,0,热,,,,
18,4.983050847457627,3,热,,,,
19,5.461538461538462,2,热,,,,
20,5.462962962962963,0,热,,,,
21,5.857142857142857,4,热,,,,
22,4.532258064516129,11,冷,,,,
23,5.888888888888889,20,冷,,,,
24,6.041666666666667,6,热,,,,
25,4.9,5,冷,,,,
26,5.351851851851852,0,热,,,,
27,5.0,12,冷,,,,
28,7.564102564102564,2,热,,,,
29,7.048780487804878,3,热,,,,
30,5.218181818181818,10,冷,,,,
31,6.622222222222222,1,热,,,,
32,5.192982456140351,2,热,,,,
33,5.12280701754386,0,热,,,,
