红球号码,红球概率,红球偏差,蓝球号码,蓝球概率,蓝球偏差
1,0.03222222222222222,0.0019191919191919177,1.0,0.06333333333333334,0.0008333333333333387
2,0.035,0.0046969696969696995,2.0,0.05,-0.012499999999999997
3,0.03388888888888889,0.003585858585858588,3.0,0.07666666666666666,0.01416666666666666
4,0.026111111111111113,-0.004191919191919191,4.0,0.08333333333333333,0.02083333333333333
5,0.02722222222222222,-0.0030808080808080833,5.0,0.05,-0.012499999999999997
6,0.03111111111111111,0.0008080808080808063,6.0,0.06,-0.0025000000000000022
7,0.03277777777777778,0.002474747474747477,7.0,0.05,-0.012499999999999997
8,0.03388888888888889,0.003585858585858588,8.0,0.05,-0.012499999999999997
9,0.03388888888888889,0.003585858585858588,9.0,0.04666666666666667,-0.01583333333333333
10,0.03277777777777778,0.002474747474747477,10.0,0.05333333333333334,-0.009166666666666663
11,0.03,-0.000303030303030305,11.0,0.08333333333333333,0.02083333333333333
12,0.03,-0.000303030303030305,12.0,0.056666666666666664,-0.005833333333333336
13,0.028888888888888888,-0.0014141414141414163,13.0,0.056666666666666664,-0.005833333333333336
14,0.028888888888888888,-0.0014141414141414163,14.0,0.06,-0.0025000000000000022
15,0.026111111111111113,-0.004191919191919191,15.0,0.08333333333333333,0.02083333333333333
16,0.029444444444444443,-0.0008585858585858606,16.0,0.07666666666666666,0.01416666666666666
17,0.03611111111111111,0.005808080808080804,,,
18,0.03333333333333333,0.003030303030303029,,,
19,0.029444444444444443,-0.0008585858585858606,,,
20,0.030555555555555555,0.0002525252525252507,,,
21,0.027777777777777776,-0.0025252525252525276,,,
22,0.035,0.0046969696969696995,,,
23,0.025555555555555557,-0.004747474747474747,,,
24,0.02722222222222222,-0.0030808080808080833,,,
25,0.03388888888888889,0.003585858585858588,,,
26,0.030555555555555555,0.0002525252525252507,,,
27,0.03166666666666667,0.0013636363636363655,,,
28,0.022222222222222223,-0.00808080808080808,,,
29,0.023333333333333334,-0.0069696969696969695,,,
30,0.03111111111111111,0.0008080808080808063,,,
31,0.025555555555555557,-0.004747474747474747,,,
32,0.03222222222222222,0.0019191919191919177,,,
33,0.03222222222222222,0.0019191919191919177,,,
