issue,date,front_balls,back_balls
23001,2023-01-01,"04,07,18,23,25","06,09"
23000,2023-01-01,"19,21,26,27,35","08,09"
22999,2023-01-01,"09,16,26,29,30","05,10"
22998,2023-01-01,"03,12,21,26,32","03,11"
22997,2023-01-01,"02,25,31,34,35","05,12"
22996,2023-01-01,"02,20,23,30,32","01,09"
22995,2023-01-01,"01,06,11,17,21","05,09"
22994,2023-01-01,"06,11,17,29,35","03,07"
22993,2023-01-01,"03,04,10,16,32","03,12"
22992,2023-01-01,"05,09,11,20,29","03,11"
22991,2023-01-01,"10,12,14,33,34","09,12"
22990,2023-01-01,"04,11,20,30,31","01,03"
22989,2023-01-01,"04,05,22,23,29","01,04"
22988,2023-01-01,"01,08,23,29,32","05,09"
22987,2023-01-01,"16,22,23,24,30","01,08"
22986,2023-01-01,"03,04,12,26,27","01,12"
22985,2023-01-01,"02,08,15,20,25","02,04"
22984,2023-01-01,"04,07,14,26,34","09,10"
22983,2023-01-01,"04,07,15,19,26","02,11"
22982,2023-01-01,"07,09,16,22,33","03,11"
22981,2023-01-01,"12,22,24,33,34","05,09"
22980,2023-01-01,"01,02,21,24,25","06,11"
22979,2023-01-01,"13,14,21,22,23","11,12"
22978,2023-01-01,"06,21,27,30,35","01,07"
22977,2023-01-01,"03,04,08,10,15","06,08"
22976,2023-01-01,"15,20,23,31,32","03,12"
22975,2023-01-01,"01,05,18,25,35","08,09"
22974,2023-01-01,"17,18,23,25,32","03,09"
22973,2023-01-01,"04,18,19,31,34","01,10"
22972,2023-01-01,"09,17,18,30,32","08,10"
22971,2023-01-01,"12,14,24,33,34","09,12"
22970,2023-01-01,"06,07,14,17,30","09,11"
22969,2023-01-01,"08,09,13,16,29","03,11"
22968,2023-01-01,"14,15,18,29,32","06,11"
22967,2023-01-01,"01,06,10,16,29","07,09"
22966,2023-01-01,"05,16,26,29,30","07,09"
22965,2023-01-01,"08,14,26,27,33","02,05"
22964,2023-01-01,"05,13,21,23,29","03,08"
22963,2023-01-01,"18,19,22,28,29","10,12"
22962,2023-01-01,"07,19,22,24,25","09,11"
22961,2023-01-01,"03,15,27,29,32","02,07"
22960,2023-01-01,"09,12,14,17,35","06,11"
22959,2023-01-01,"05,11,13,18,34","02,06"
22958,2023-01-01,"06,10,15,17,26","01,09"
22957,2023-01-01,"08,19,21,25,33","03,11"
22956,2023-01-01,"19,31,32,34,35","06,07"
22955,2023-01-01,"02,15,23,27,28","02,09"
22954,2023-01-01,"01,17,24,29,31","04,12"
22953,2023-01-01,"09,20,21,24,27","04,06"
22952,2023-01-01,"01,03,05,20,35","01,08"
22951,2023-01-01,"06,07,19,21,28","05,06"
22950,2023-01-01,"03,14,22,27,29","04,08"
22949,2023-01-01,"01,03,04,10,25","01,10"
22948,2023-01-01,"02,04,18,23,29","02,05"
22947,2023-01-01,"01,03,21,34,35","06,09"
22946,2023-01-01,"01,05,17,27,29","04,09"
22945,2023-01-01,"01,08,16,17,18","10,11"
22944,2023-01-01,"01,02,08,09,19","01,08"
22943,2023-01-01,"09,12,18,20,34","02,11"
22942,2023-01-01,"08,12,13,26,33","03,09"
22941,2023-01-01,"12,19,20,23,29","01,11"
22940,2023-01-01,"01,04,19,24,30","01,09"
22939,2023-01-01,"06,08,31,32,33","01,05"
22938,2023-01-01,"02,19,29,34,35","01,05"
22937,2023-01-01,"07,10,17,27,29","07,08"
22936,2023-01-01,"04,06,07,21,22","01,05"
22935,2023-01-01,"05,11,18,30,32","05,06"
22934,2023-01-01,"01,05,11,31,34","06,09"
22933,2023-01-01,"04,15,23,25,31","07,08"
22932,2023-01-01,"04,07,11,13,33","02,03"
22931,2023-01-01,"03,20,24,25,30","01,07"
22930,2023-01-01,"02,28,31,33,34","10,11"
22929,2023-01-01,"05,14,23,24,33","03,04"
22928,2023-01-01,"03,20,26,32,35","06,09"
22927,2023-01-01,"03,08,14,24,35","02,07"
22926,2023-01-01,"03,06,22,33,35","04,11"
22925,2023-01-01,"14,17,20,31,33","04,06"
22924,2023-01-01,"09,16,20,29,30","03,04"
22923,2023-01-01,"01,14,17,20,25","07,08"
22922,2023-01-01,"02,06,11,19,33","08,11"
22921,2023-01-01,"12,13,20,27,30","02,08"
22920,2023-01-01,"15,21,22,30,31","04,10"
22919,2023-01-01,"01,08,10,14,27","06,10"
22918,2023-01-01,"09,10,16,23,35","05,11"
22917,2023-01-01,"12,13,14,26,35","02,05"
22916,2023-01-01,"08,11,17,22,32","03,10"
22915,2023-01-01,"13,15,24,25,33","07,10"
22914,2023-01-01,"04,11,13,21,26","03,09"
22913,2023-01-01,"05,08,25,28,30","07,11"
22912,2023-01-01,"04,09,18,27,29","08,11"
22911,2023-01-01,"03,10,26,29,34","03,12"
22910,2023-01-01,"18,19,22,23,32","03,07"
22909,2023-01-01,"01,03,07,13,27","09,12"
22908,2023-01-01,"01,02,12,23,27","02,10"
22907,2023-01-01,"04,08,21,28,30","05,07"
22906,2023-01-01,"04,07,09,17,18","01,03"
22905,2023-01-01,"04,06,12,30,32","02,03"
22904,2023-01-01,"10,12,15,22,35","08,09"
22903,2023-01-01,"08,26,27,30,34","06,12"
22902,2023-01-01,"02,03,26,28,33","09,12"
22901,2023-01-01,"03,20,22,24,28","02,04"
22900,2023-01-01,"04,19,26,31,33","08,12"
22899,2023-01-01,"10,12,16,18,35","01,08"
22898,2023-01-01,"04,12,21,24,29","05,07"
22897,2023-01-01,"01,16,25,31,35","04,09"
